node,category,occupation
183,I,scientist
184,D,scientist
185,P,celebrity
186,D,celebrity
187,D,scientist
188,D,politician
189,D,politician
190,P,scientist
191,D,politician
192,P,politician
193,I,celebrity
194,I,celebrity
195,D,celebrity
196,D,celebrity
197,D,celebrity
198,D,celebrity
199,P,politician
200,D,celebrity
201,I,celebrity
202,I,politician
203,D,scientist
204,P,celebrity
205,I,celebrity
206,D,politician
207,D,celebrity
208,P,celebrity
209,D,politician
210,P,celebrity
211,I,politician
212,D,politician
213,D,celebrity
214,I,scientist
215,P,celebrity
216,P,celebrity
217,D,scientist
218,D,politician
219,I,politician
220,I,politician
221,I,celebrity
222,P,celebrity
223,P,politician
224,P,celebrity
225,I,celebrity
226,D,politician
227,P,scientist
228,P,scientist
229,P,politician
230,I,politician
231,P,politician
232,P,politician
233,I,politician
234,P,celebrity
235,I,celebrity
236,P,scientist
237,I,politician
238,I,scientist
239,I,scientist
240,I,politician
241,I,celebrity
242,I,celebrity
243,D,celebrity
244,I,celebrity
245,I,scientist
246,I,scientist
247,D,celebrity
248,P,politician
249,P,politician
250,I,celebrity
251,I,scientist
252,I,politician
253,D,scientist
254,D,politician
255,P,politician
256,I,politician
257,D,scientist
258,D,scientist
259,P,scientist
260,I,celebrity
261,I,celebrity
262,P,scientist
263,I,scientist
264,D,scientist
265,I,scientist
266,P,politician
267,I,scientist
268,D,celebrity
269,P,scientist
270,P,politician
271,P,celebrity
272,P,scientist
273,I,scientist
274,D,scientist
275,D,celebrity
276,I,celebrity
277,P,celebrity
278,P,politician
279,I,celebrity
280,I,scientist
281,I,celebrity
282,D,celebrity
283,I,celebrity
284,I,politician
285,P,scientist
286,P,politician
287,I,celebrity
288,P,scientist
289,D,scientist
290,D,scientist
291,P,scientist
292,I,politician
293,I,scientist
294,I,celebrity
295,D,celebrity
296,D,scientist
297,I,scientist
298,P,scientist
299,D,politician
300,I,politician
301,I,celebrity
302,P,politician
303,P,politician
304,P,celebrity
305,I,politician
306,D,scientist
307,I,celebrity
308,P,politician
309,P,scientist
310,D,politician
311,I,celebrity
312,P,celebrity
313,P,celebrity
314,P,celebrity
315,D,politician
316,I,politician
317,P,celebrity
318,P,celebrity
319,I,scientist
320,D,celebrity
321,P,celebrity
322,P,scientist
323,I,celebrity
324,I,celebrity
325,D,celebrity
326,D,celebrity
327,I,politician
328,I,politician
329,D,celebrity
330,D,celebrity
331,D,celebrity
332,I,scientist
333,P,scientist
334,P,celebrity
335,I,celebrity
336,D,scientist
337,I,scientist
338,I,politician
339,P,politician
340,I,celebrity
341,I,celebrity
342,P,scientist
343,I,celebrity
344,P,politician
345,P,scientist
346,P,politician
347,P,politician
348,P,politician
349,D,politician
350,D,celebrity
351,P,celebrity
352,I,politician
353,P,celebrity
354,D,scientist
355,D,celebrity
356,I,scientist
357,D,scientist
358,P,celebrity
359,I,celebrity
360,I,scientist
361,P,politician
362,P,politician
363,I,celebrity
364,I,celebrity
365,I,scientist
366,I,celebrity
367,D,politician
368,P,scientist
369,D,scientist
370,I,politician
371,I,scientist
372,I,scientist
373,I,celebrity
374,P,scientist
375,P,politician
376,P,scientist
377,I,scientist
378,P,scientist
379,I,politician
380,I,scientist
381,I,politician
382,D,scientist
383,D,celebrity
384,D,celebrity
385,D,scientist
386,D,politician
387,P,celebrity
388,P,politician
389,D,scientist
390,D,politician
391,P,scientist
392,D,scientist
393,P,celebrity
394,I,celebrity
395,D,celebrity
396,P,scientist
397,P,politician
398,I,celebrity
399,D,politician
400,P,politician
401,P,politician
402,P,scientist
403,D,celebrity
404,I,politician
405,I,scientist
406,D,celebrity
407,I,scientist
408,D,scientist
409,P,politician
410,I,politician
411,P,politician
412,I,scientist
413,I,scientist
414,I,scientist
415,P,celebrity
416,D,scientist
417,P,scientist
418,D,scientist
419,P,scientist
420,I,scientist
421,D,celebrity
422,D,celebrity
423,D,politician
424,D,celebrity
425,P,celebrity
426,P,scientist
427,I,scientist
428,D,politician
429,I,scientist
430,D,scientist
431,I,politician
432,I,celebrity
433,D,scientist
434,P,scientist
435,P,politician
436,D,scientist
437,D,scientist
438,I,politician
439,D,celebrity
440,I,celebrity
441,P,politician
442,I,politician
443,I,scientist
444,I,scientist
445,I,celebrity
446,D,celebrity
447,P,scientist
448,P,scientist
449,P,politician
450,P,politician
451,I,politician
452,I,celebrity
453,I,celebrity
454,P,scientist
455,P,celebrity
456,P,scientist
457,D,politician
458,D,celebrity
459,I,scientist
460,P,scientist
461,D,scientist
462,D,celebrity
463,P,politician
464,I,politician
465,D,celebrity
466,I,celebrity
467,P,politician
468,P,scientist
469,I,celebrity
470,D,politician
471,I,celebrity
472,P,scientist
473,I,celebrity
474,P,scientist
475,P,celebrity
476,P,scientist
477,P,scientist
478,D,politician
479,P,scientist
480,P,scientist
481,P,politician
482,P,scientist
483,D,politician
484,D,celebrity
485,I,celebrity
486,P,celebrity
487,I,celebrity
488,I,politician
489,P,scientist
490,I,scientist
491,P,politician
492,P,scientist
493,I,scientist
494,I,celebrity
495,I,scientist
496,I,scientist
497,D,politician
498,P,scientist
499,D,politician
500,D,politician
501,I,politician
502,P,scientist
503,I,politician
504,I,celebrity
505,I,politician
506,D,scientist
507,I,celebrity
508,D,celebrity
509,P,politician
510,P,scientist
511,I,celebrity
512,I,politician
513,P,celebrity
514,I,celebrity
515,I,politician
516,P,celebrity
517,I,scientist
518,I,politician
519,I,celebrity
520,P,politician
521,D,politician
522,I,politician
523,I,politician
524,P,celebrity
525,D,celebrity
526,D,celebrity
527,D,scientist
528,D,politician
529,I,scientist
530,I,scientist
531,D,celebrity
532,P,scientist
533,D,politician
534,D,scientist
535,D,politician
536,P,celebrity
537,D,celebrity
538,P,celebrity
539,I,scientist
540,D,scientist
541,D,scientist
542,I,celebrity
543,I,scientist
544,P,celebrity
545,I,scientist
546,I,politician
547,P,politician
548,I,celebrity
549,I,politician
550,P,politician
551,I,politician
552,I,politician
553,D,politician
554,P,scientist
555,P,politician
556,I,celebrity
557,D,celebrity
558,D,scientist
559,D,celebrity
560,D,celebrity
561,D,politician
562,I,politician
563,P,politician
564,D,scientist
565,P,celebrity
566,D,celebrity
567,P,scientist
568,D,celebrity
569,P,scientist
570,P,scientist
571,D,politician
572,D,politician
573,D,celebrity
574,D,celebrity
575,I,celebrity
576,D,scientist
577,D,politician
578,D,scientist
579,D,celebrity
580,D,scientist
581,D,scientist
582,I,scientist
583,P,politician
584,P,scientist
585,P,politician
586,D,politician
587,I,celebrity
588,D,celebrity
589,D,celebrity
590,P,scientist
591,D,politician
592,P,politician
593,P,politician
594,P,politician
595,I,celebrity
596,D,celebrity
597,I,celebrity
598,D,politician
599,D,scientist
600,P,celebrity
601,P,politician
602,P,celebrity
603,D,politician
604,D,celebrity
605,P,celebrity
606,P,celebrity
607,P,celebrity
608,D,scientist
609,P,scientist
610,I,politician
611,P,scientist
612,I,celebrity
613,I,politician
614,I,scientist
615,D,scientist
616,D,celebrity
617,I,politician
618,D,politician
619,I,scientist
620,D,scientist
621,D,celebrity
622,I,politician
623,P,scientist
624,P,politician
625,I,celebrity
626,I,politician
627,P,scientist
628,I,scientist
629,I,scientist
630,I,politician
631,I,celebrity
632,I,scientist
633,P,scientist
634,I,celebrity
635,D,politician
636,I,scientist
637,D,scientist
638,P,scientist
639,I,celebrity
640,D,scientist
641,I,politician
642,I,scientist
643,P,celebrity
644,P,scientist
645,I,scientist
646,P,politician
647,I,politician
648,D,politician
649,D,scientist
650,I,celebrity
651,D,scientist
652,P,celebrity
653,D,celebrity
654,I,celebrity
655,I,scientist
656,P,scientist
657,I,scientist
658,I,politician
659,D,celebrity
660,I,politician
661,D,celebrity
662,D,celebrity
663,P,politician
664,D,scientist
665,P,scientist
666,P,celebrity
667,P,celebrity
668,I,scientist
669,D,celebrity
670,I,politician
671,I,celebrity
672,P,scientist
673,I,scientist
674,I,scientist
675,P,politician
676,P,celebrity
677,I,politician
678,D,politician
679,I,scientist
680,P,scientist
681,P,scientist
682,P,politician
683,D,politician
684,I,celebrity
685,P,scientist
686,D,politician
687,P,scientist
688,D,scientist
689,P,celebrity
690,P,celebrity
691,D,politician
692,D,celebrity
693,I,scientist
694,P,politician
695,D,scientist
696,I,celebrity
697,P,politician
698,D,celebrity
699,D,scientist
700,I,politician
701,D,scientist
702,I,politician
703,P,scientist
704,P,politician
705,P,scientist
706,P,scientist
707,D,celebrity
708,D,scientist
709,P,celebrity
710,P,scientist
711,I,politician
712,D,politician
713,D,scientist
714,I,celebrity
715,P,politician
716,P,scientist
717,D,politician
718,D,celebrity
719,D,celebrity
720,P,scientist
721,I,scientist
722,I,scientist
723,P,politician
724,P,scientist
725,P,celebrity
726,D,celebrity
727,I,celebrity
728,D,scientist
729,I,politician
730,D,celebrity
731,I,politician
732,D,politician
733,I,celebrity
734,D,celebrity
735,D,politician
736,P,scientist
737,I,scientist
738,I,celebrity
739,D,politician
740,I,politician
741,P,celebrity
742,D,politician
743,I,politician
744,I,celebrity
745,I,politician
746,I,politician
747,P,politician
748,P,politician
749,P,scientist
750,I,celebrity
751,P,politician
752,I,scientist
753,D,celebrity
754,D,scientist
755,I,scientist
756,D,scientist
757,D,celebrity
758,D,scientist
759,P,scientist
760,I,scientist
761,I,scientist
762,D,celebrity
763,P,politician
764,D,scientist
765,P,politician
766,I,scientist
767,P,politician
768,I,politician
769,P,scientist
770,P,scientist
771,I,scientist
772,D,scientist
773,P,scientist
774,I,scientist
775,P,politician
776,I,scientist
777,P,scientist
778,D,politician
779,I,politician
780,D,politician
781,P,scientist
782,I,scientist
783,P,politician
784,I,politician
785,I,celebrity
786,D,politician
787,D,celebrity
788,I,celebrity
789,I,scientist
790,P,politician
791,D,scientist
792,I,scientist
793,I,scientist
794,D,celebrity
795,P,celebrity
796,P,scientist
797,I,celebrity
798,P,scientist
799,D,politician
800,D,celebrity
801,P,scientist
802,P,politician
803,P,scientist
804,P,celebrity
805,D,politician
806,I,scientist
807,D,celebrity
808,P,politician
809,D,celebrity
810,P,scientist
811,D,celebrity
812,P,celebrity
813,D,politician
814,P,celebrity
815,I,celebrity
816,I,politician
817,D,politician
818,I,scientist
819,D,politician
820,P,celebrity
821,D,scientist
822,D,politician
823,I,celebrity
824,D,scientist
825,P,celebrity
826,P,scientist
827,I,politician
828,D,celebrity
829,I,celebrity
830,I,politician
831,P,politician
832,D,celebrity
833,D,politician
834,I,scientist
835,D,scientist
836,P,politician
837,I,celebrity
838,I,scientist
839,D,scientist
840,D,politician
841,P,celebrity
842,P,politician
843,I,politician
844,D,scientist
845,D,scientist
846,I,scientist
847,D,scientist
848,D,celebrity
849,D,politician
850,D,politician
851,P,politician
852,I,politician
853,I,politician
854,P,politician
855,D,celebrity
856,D,scientist
857,I,politician
858,I,politician
859,I,scientist
860,I,scientist
861,P,scientist
862,P,celebrity
863,D,politician
864,D,politician
865,I,scientist
866,I,politician
867,D,scientist
868,I,celebrity
869,I,scientist
870,D,scientist
871,I,celebrity
872,D,celebrity
873,I,politician
874,I,scientist
875,I,celebrity
876,I,scientist
877,P,scientist
878,I,scientist
879,I,politician
880,D,celebrity
881,P,scientist
882,P,scientist
883,D,celebrity
884,D,politician
885,D,celebrity
886,I,scientist
887,I,politician
888,P,politician
889,D,politician
890,I,politician
891,D,celebrity
892,P,celebrity
893,P,politician
894,P,politician
895,D,scientist
896,I,celebrity
897,P,politician
898,P,scientist
899,P,politician
900,P,celebrity
901,I,scientist
902,P,politician
903,D,celebrity
904,D,scientist
905,I,scientist
906,D,politician
907,D,celebrity
908,I,scientist
909,D,politician
910,I,politician
911,D,scientist
912,P,scientist
913,P,politician
914,I,celebrity
915,I,celebrity
916,I,scientist
917,P,celebrity
918,I,politician
919,P,scientist
920,P,celebrity
921,I,politician
922,P,scientist
923,D,celebrity
924,D,politician
925,P,scientist
926,I,scientist
927,D,celebrity
928,P,politician
929,D,scientist
930,D,celebrity
931,P,scientist
932,P,celebrity
933,D,celebrity
934,I,celebrity
935,I,politician
936,P,scientist
937,I,celebrity
938,P,politician
939,D,scientist
940,P,politician
941,I,celebrity
942,I,politician
943,D,politician
944,D,celebrity
945,P,scientist
946,D,politician
947,D,politician
948,D,scientist
949,I,celebrity
950,P,celebrity
951,I,politician
952,P,celebrity
953,D,scientist
954,I,scientist
955,I,politician
956,P,politician
957,I,politician
958,P,celebrity
959,P,celebrity
960,D,politician
961,I,celebrity
962,I,scientist
963,P,celebrity
964,P,celebrity
965,P,celebrity
966,I,politician
967,D,scientist
968,I,scientist
969,D,celebrity
970,I,celebrity
971,I,scientist
972,I,celebrity
973,P,celebrity
974,I,celebrity
975,I,scientist
976,P,scientist
977,I,scientist
978,P,celebrity
979,D,scientist
980,P,celebrity
981,D,scientist
982,D,politician
983,I,scientist
984,D,scientist
985,P,celebrity
986,D,celebrity
987,P,scientist
988,P,scientist
989,D,scientist
990,P,celebrity
991,D,celebrity
992,I,celebrity
993,D,celebrity
994,I,politician
995,P,politician
996,I,scientist
997,I,scientist
998,D,politician
999,P,scientist
1000,I,celebrity
1001,I,scientist
1002,D,celebrity
1003,D,scientist
1004,I,scientist
1005,I,politician
1006,D,politician
1007,D,celebrity
1008,I,scientist
1009,D,celebrity
1010,D,scientist
1011,P,politician
1012,I,celebrity
1013,D,scientist
1014,P,celebrity
1015,P,celebrity
1016,P,politician
1017,D,celebrity
1018,P,scientist
1019,I,celebrity
1020,P,scientist
1021,P,celebrity
1022,I,scientist
1023,I,scientist
1024,P,scientist
1025,I,scientist
1026,P,politician
1027,D,politician
1028,P,celebrity
1029,P,celebrity
1030,I,politician
1031,I,celebrity
1032,P,scientist
1033,D,politician
1034,D,politician
1035,P,scientist
1036,I,scientist
1037,P,celebrity
1038,P,scientist
1039,I,politician
1040,I,politician
1041,I,celebrity
1042,P,scientist
1043,P,politician
1044,P,scientist
1045,I,celebrity
1046,D,celebrity
1047,I,politician
1048,D,celebrity
1049,P,celebrity
1050,D,scientist
1051,P,scientist
1052,P,politician
1053,D,celebrity
1054,P,politician
1055,P,politician
1056,I,politician
1057,D,celebrity
1058,I,celebrity
1059,D,scientist
1060,I,politician
1061,D,politician
1062,D,politician
1063,I,celebrity
1064,I,scientist
1065,P,politician
1066,D,scientist
1067,D,celebrity
1068,P,scientist
1069,I,politician
1070,D,scientist
1071,D,celebrity
1072,D,celebrity
1073,D,politician
1074,D,scientist
1075,P,celebrity
1076,I,celebrity
1077,P,scientist
1078,I,celebrity
1079,D,scientist
1080,P,celebrity
1081,I,politician
1082,P,celebrity
1083,D,celebrity
1084,I,scientist
1085,P,scientist
1086,I,scientist
1087,I,scientist
1088,P,scientist
1089,P,scientist
1090,P,scientist
1091,D,politician
1092,D,scientist
1093,I,scientist
1094,I,celebrity
1095,I,celebrity
1096,D,scientist
1097,I,politician
1098,D,scientist
1099,D,scientist
1100,I,celebrity
1101,I,scientist
1102,I,politician
1103,P,celebrity
1104,P,politician
1105,D,scientist
1106,P,celebrity
1107,P,celebrity
1108,P,celebrity
1109,I,scientist
1110,D,celebrity
1111,D,politician
1112,P,politician
1113,I,celebrity
1114,D,politician
1115,I,celebrity
1116,I,scientist
1117,I,celebrity
1118,D,celebrity
1119,P,politician
1120,D,politician
1121,D,scientist
1122,P,scientist
1123,D,scientist
1124,P,scientist
1125,P,scientist
1126,I,scientist
1127,I,politician
1128,D,scientist
1129,D,scientist
1130,D,scientist
1131,P,politician
1132,P,celebrity
1133,P,celebrity
1134,D,politician
1135,I,scientist
1136,I,scientist
1137,D,politician
1138,P,celebrity
1139,D,celebrity
1140,I,politician
1141,P,scientist
1142,D,celebrity
1143,P,politician
1144,P,politician
1145,I,celebrity
1146,D,politician
1147,D,politician
1148,D,celebrity
1149,I,celebrity
1150,P,politician
1151,P,scientist
1152,I,scientist
1153,P,scientist
1154,D,celebrity
1155,P,celebrity
1156,D,scientist
1157,I,politician
1158,P,scientist
1159,D,celebrity
1160,D,politician
1161,I,celebrity
1162,P,scientist
1163,P,scientist
1164,I,politician
1165,I,scientist
1166,D,politician
1167,I,scientist
1168,P,scientist
1169,P,politician
1170,P,politician
1171,D,politician
1172,P,politician
1173,P,politician
1174,D,scientist
1175,P,celebrity
1176,P,celebrity
1177,I,celebrity
1178,D,celebrity
1179,P,celebrity
1180,I,celebrity
1181,P,politician
1182,I,scientist
1183,I,celebrity
1184,P,scientist
1185,I,scientist
1186,I,scientist
1187,D,scientist
1188,P,celebrity
1189,P,scientist
1190,D,celebrity
1191,P,celebrity
1192,P,celebrity
1193,I,politician
1194,P,scientist
1195,D,celebrity
1196,P,politician
1197,P,scientist
1198,I,politician
1199,D,celebrity
1200,D,celebrity
1201,I,celebrity
1202,D,scientist
1203,P,celebrity
1204,P,scientist
1205,I,scientist
1206,D,celebrity
1207,P,celebrity
1208,D,politician
1209,D,politician
1210,D,celebrity
1211,I,politician
1212,D,politician
1213,P,scientist
1214,D,politician
1215,D,politician
1216,P,politician
1217,I,celebrity
1218,D,scientist
1219,P,scientist
1220,P,politician
1221,D,celebrity
1222,D,scientist
1223,I,celebrity
1224,P,scientist
1225,P,celebrity
1226,I,celebrity
1227,I,politician
1228,I,politician
1229,I,politician
1230,D,politician
1231,D,scientist
1232,I,scientist
1233,P,politician
1234,P,celebrity
1235,P,scientist
1236,P,scientist
1237,D,celebrity
1238,P,celebrity
1239,D,scientist
1240,P,scientist
1241,I,politician
1242,I,scientist
1243,D,celebrity
1244,P,politician
1245,I,scientist
1246,P,scientist
1247,P,politician
1248,D,celebrity
1249,I,politician
1250,P,celebrity
1251,I,scientist
1252,I,politician
1253,I,scientist
1254,D,politician
1255,D,celebrity
1256,I,politician
1257,D,politician
1258,I,celebrity
1259,P,politician
1260,D,celebrity
1261,D,scientist
1262,P,celebrity
1263,I,politician
1264,D,scientist
1265,D,celebrity
1266,I,scientist
1267,D,celebrity
1268,D,politician
1269,D,politician
1270,D,scientist
1271,P,celebrity
1272,I,politician
1273,I,scientist
1274,P,scientist
1275,I,politician
1276,P,celebrity
1277,P,scientist
1278,I,politician
1279,I,politician
1280,P,politician
1281,P,scientist
1282,I,politician
1283,P,politician
1284,D,scientist
1285,I,celebrity
1286,I,scientist
1287,I,politician
1288,D,scientist
1289,D,scientist
1290,P,celebrity
1291,I,politician
1292,D,scientist
1293,I,celebrity
1294,I,politician
1295,D,celebrity
1296,D,scientist
1297,D,politician
1298,I,scientist
1299,I,politician
1300,P,scientist
1301,I,politician
1302,P,politician
1303,I,scientist
1304,D,politician
1305,P,celebrity
1306,I,politician
1307,I,celebrity
1308,P,scientist
1309,P,celebrity
1310,D,politician
1311,I,scientist
1312,P,politician
1313,I,politician
1314,I,politician
1315,P,celebrity
1316,I,politician
1317,I,celebrity
1318,P,scientist
1319,P,politician
1320,I,scientist
1321,P,celebrity
1322,I,celebrity
1323,P,scientist
1324,D,politician
1325,I,scientist
1326,D,scientist
1327,D,scientist
1328,D,celebrity
1329,P,celebrity
1330,P,scientist
1331,D,celebrity
1332,D,celebrity
1333,D,celebrity
1334,I,politician
1335,I,scientist
1336,I,politician
1337,D,scientist
1338,P,politician
1339,I,politician
1340,P,politician
1341,I,scientist
1342,P,politician
1343,I,scientist
1344,D,scientist
1345,I,scientist
1346,I,scientist
1347,I,scientist
1348,P,celebrity
1349,D,politician
1350,I,celebrity
1351,D,celebrity
1352,P,politician
1353,I,scientist
1354,P,celebrity
1355,D,politician
1356,D,scientist
1357,D,politician
1358,I,celebrity
1359,P,politician
1360,D,scientist
1361,P,scientist
1362,P,celebrity
1363,I,scientist
1364,D,celebrity
1365,P,scientist
1366,P,celebrity
1367,D,politician
1368,D,politician
1369,P,politician
1370,P,politician
1371,I,scientist
1372,D,scientist
1373,D,scientist
1374,D,scientist
1375,D,politician
1376,I,celebrity
1377,I,celebrity
1378,D,scientist
1379,D,scientist
1380,I,celebrity
1381,I,scientist
1382,I,politician
1383,I,celebrity
1384,D,celebrity
1385,D,scientist
1386,I,scientist
1387,P,celebrity
1388,D,scientist
1389,P,politician
1390,I,scientist
1391,I,scientist
1392,P,scientist
1393,D,politician
1394,I,politician
1395,P,scientist
1396,I,celebrity
1397,P,politician
1398,I,scientist
1399,D,scientist
1400,P,politician
1401,I,politician
1402,P,politician
1403,I,scientist
1404,I,celebrity
1405,P,politician
1406,D,politician
1407,P,scientist
1408,I,celebrity
1409,P,politician
1410,I,scientist
1411,P,politician
1412,I,scientist
1413,I,politician
1414,I,politician
1415,I,politician
1416,D,celebrity
1417,D,scientist
1418,P,politician
1419,D,scientist
1420,P,scientist
1421,D,scientist
1422,D,politician
1423,I,politician
1424,I,celebrity
1425,D,celebrity
1426,P,politician
1427,I,scientist
1428,D,scientist
1429,P,scientist
1430,D,celebrity
1431,D,politician
1432,I,celebrity
1433,D,politician
1434,D,scientist
1435,I,celebrity
1436,D,politician
1437,P,scientist
1438,D,politician
1439,I,scientist
1440,D,scientist
1441,P,scientist
1442,I,scientist
1443,I,scientist
1444,P,celebrity
1445,I,celebrity
1446,D,politician
1447,D,scientist
1448,I,celebrity
1449,I,celebrity
1450,I,scientist
1451,D,celebrity
1452,D,celebrity
1453,I,scientist
1454,D,politician
1455,D,celebrity
1456,P,politician
1457,D,politician
1458,D,scientist
1459,P,politician
1460,D,celebrity
1461,D,celebrity
1462,D,politician
1463,I,politician
1464,I,politician
1465,D,celebrity
1466,P,politician
1467,P,politician
1468,I,scientist
1469,D,politician
1470,I,politician
1471,P,scientist
1472,I,politician
1473,P,scientist
1474,P,politician
1475,D,scientist
1476,P,celebrity
1477,D,scientist
1478,D,politician
1479,D,scientist
1480,I,politician
1481,I,celebrity
1482,I,scientist
1483,D,politician
1484,P,celebrity
1485,P,politician
1486,D,politician
1487,D,celebrity
1488,P,scientist
1489,D,scientist
1490,I,scientist
1491,P,scientist
1492,I,celebrity
1493,I,politician
1494,P,politician
1495,D,scientist
1496,I,politician
1497,D,scientist
1498,P,politician
1499,D,celebrity
1500,I,scientist
1501,P,celebrity
1502,D,scientist
1503,D,politician
1504,D,politician
1505,I,celebrity
1506,D,politician
1507,D,scientist
1508,D,celebrity
1509,P,scientist
1510,I,politician
1511,P,celebrity
1512,P,politician
1513,P,celebrity
1514,P,scientist
1515,I,celebrity
1516,I,politician
1517,I,celebrity
1518,I,scientist
1519,I,politician
1520,I,celebrity
1521,P,celebrity
1522,P,celebrity
1523,P,politician
1524,D,celebrity
1525,D,politician
1526,I,politician
1527,D,celebrity
1528,D,scientist
1529,P,politician
1530,I,celebrity
1531,I,celebrity
1532,P,scientist
1533,P,politician
1534,D,celebrity
1535,D,politician
1536,P,politician
1537,I,scientist
1538,P,scientist
1539,P,politician
1540,P,scientist
1541,D,celebrity
1542,D,scientist
1543,I,scientist
1544,I,politician
1545,D,scientist
1546,I,celebrity
1547,I,scientist
1548,P,celebrity
1549,I,politician
1550,P,celebrity
1551,I,celebrity
1552,P,celebrity
1553,D,scientist
1554,P,scientist
1555,P,celebrity
1556,D,celebrity
1557,P,celebrity
1558,P,politician
1559,P,scientist
1560,P,politician
1561,D,celebrity
1562,I,politician
1563,P,celebrity
1564,I,scientist
1565,I,scientist
1566,P,celebrity
1567,D,politician
1568,D,celebrity
1569,I,politician
1570,P,celebrity
1571,D,politician
1572,P,celebrity
1573,D,politician
1574,D,celebrity
1575,P,politician
1576,D,politician
1577,I,scientist
1578,I,politician
1579,I,politician
1580,I,politician
1581,D,scientist
1582,I,celebrity
1583,P,celebrity
1584,P,politician
1585,P,politician
1586,I,scientist
1587,I,celebrity
1588,P,politician
1589,D,celebrity
1590,I,celebrity
1591,I,politician
1592,I,politician
1593,I,scientist
1594,I,celebrity
1595,I,scientist
1596,P,politician
1597,P,scientist
1598,D,politician
1599,D,celebrity
1600,I,celebrity
1601,D,scientist
1602,P,celebrity
1603,I,scientist
1604,P,politician
1605,D,celebrity
1606,I,scientist
1607,P,scientist
1608,I,celebrity
1609,I,scientist
1610,P,celebrity
1611,D,celebrity
1612,I,celebrity
1613,P,scientist
1614,I,celebrity
1615,D,celebrity
1616,I,politician
1617,I,celebrity
1618,D,celebrity
1619,I,politician
1620,I,politician
1621,I,scientist
1622,I,scientist
1623,D,scientist
1624,I,scientist
1625,D,celebrity
1626,D,celebrity
1627,P,celebrity
1628,I,celebrity
1629,P,politician
1630,P,celebrity
1631,D,scientist
1632,D,politician
1633,I,scientist
1634,I,politician
1635,I,scientist
1636,P,celebrity
1637,I,politician
1638,P,scientist
1639,P,politician
1640,I,celebrity
1641,I,celebrity
1642,I,politician
1643,I,scientist
1644,D,celebrity
1645,D,celebrity
1646,P,scientist
1647,D,celebrity
1648,I,celebrity
1649,P,politician
1650,D,politician
1651,P,celebrity
1652,D,celebrity
1653,I,celebrity
1654,D,scientist
1655,I,celebrity
1656,P,celebrity
1657,I,scientist
1658,P,celebrity
1659,I,celebrity
1660,D,politician
1661,P,celebrity
1662,D,celebrity
1663,I,scientist
